DATE,IPB50001N
1984-05-01,55.2997
1984-06-01,56.6450
1984-07-01,54.7737
1984-08-01,56.1346
1984-09-01,56.6633
1984-10-01,56.2848
1984-11-01,55.7848
1984-12-01,55.5420
1985-01-01,56.1358
1985-02-01,56.9260
1985-03-01,56.9586
1985-04-01,55.9493
1985-05-01,55.9054
1985-06-01,57.1630
1985-07-01,54.7693
1985-08-01,56.3492
1985-09-01,57.1628
1985-10-01,56.5929
1985-11-01,56.0603
1985-12-01,56.4734
1986-01-01,57.4045
1986-02-01,57.5235
1986-03-01,56.7545
1986-04-01,56.5417
1986-05-01,56.1695
1986-06-01,57.3354
1986-07-01,55.4309
1986-08-01,56.9838
1986-09-01,57.6097
1986-10-01,57.4421
1986-11-01,56.9509
1986-12-01,57.1457
1987-01-01,57.6365
1987-02-01,58.9744
1987-03-01,58.9968
1987-04-01,58.2688
1987-05-01,58.7801
1987-06-01,60.5778
1987-07-01,58.6269
1987-08-01,60.9128
1987-09-01,61.2507
1987-10-01,61.9739
1987-11-01,61.4758
1987-12-01,61.2934
1988-01-01,62.0127
1988-02-01,62.7342
1988-03-01,62.7924
1988-04-01,62.3031
1988-05-01,62.2717
1988-06-01,64.1036
1988-07-01,61.6998
1988-08-01,63.7921
1988-09-01,64.0612
1988-10-01,64.0318
1988-11-01,63.1974
1988-12-01,62.9348
1989-01-01,63.7064
1989-02-01,63.9511
1989-03-01,63.6485
1989-04-01,63.7554
1989-05-01,62.8807
1989-06-01,64.6028
1989-07-01,61.5207
1989-08-01,64.1721
1989-09-01,64.2763
1989-10-01,63.9134
1989-11-01,63.1900
1989-12-01,63.2207
1990-01-01,63.2030
1990-02-01,64.1353
1990-03-01,64.4705
1990-04-01,63.1562
1990-05-01,63.8048
1990-06-01,65.7599
1990-07-01,63.3122
1990-08-01,65.5110
1990-09-01,65.9899
1990-10-01,65.0588
1990-11-01,63.3439
1990-12-01,62.4714
1991-01-01,62.7652
1991-02-01,62.5277
1991-03-01,61.8282
1991-04-01,61.8260
1991-05-01,62.2424
1991-06-01,64.5906
1991-07-01,62.2773
1991-08-01,64.5252
1991-09-01,65.2125
1991-10-01,64.7274
1991-11-01,63.5869
1991-12-01,62.7604
1992-01-01,62.9936
1992-02-01,63.8860
1992-03-01,64.5676
1992-04-01,63.8751
1992-05-01,64.3896
1992-06-01,66.1676
1992-07-01,64.1150
1992-08-01,66.1745
1992-09-01,66.3680
1992-10-01,66.6652
1992-11-01,66.1427
1992-12-01,65.7522
1993-01-01,66.0943
1993-02-01,67.0509
1993-03-01,67.0848
1993-04-01,66.0598
1993-05-01,66.1019
1993-06-01,68.0383
1993-07-01,65.7046
1993-08-01,67.9971
1993-09-01,68.3361
1993-10-01,68.4943
1993-11-01,68.0067
1993-12-01,67.7887
1994-01-01,68.3636
1994-02-01,68.9525
1994-03-01,69.7962
1994-04-01,68.9933
1994-05-01,69.4637
1994-06-01,71.9008
1994-07-01,68.9913
1994-08-01,72.1622
1994-09-01,72.7582
1994-10-01,72.7887
1994-11-01,72.4150
1994-12-01,72.5771
1995-01-01,72.7395
1995-02-01,73.5042
1995-03-01,73.9811
1995-04-01,72.0044
